,name,tweet
0,Ace_KYD,For the night is dark and full of terrors #10YearsChallenge https://t.co/NrR1KxCrNm
1,Ace_KYD,*Insert Monday motivation*
2,Ace_KYD,Ah! Cold is catching me! https://t.co/8kZidyVqEK
3,Ace_KYD,WE ARE FIGHTING DREAMERS!!!!!!!!!!!! https://t.co/bBVlRPweVv
4,Ace_KYD,Squad! #Blackops4 #Blackout https://t.co/LrxludjH36
5,Ace_KYD,I thought this was a thread that would convince me to get started with real estate. I thought wrong. https://t.co/jvj4elsQvF
6,Ace_KYD,"Me everytime I'm doing something important and @Spectranet_NG decides to time out till I restart the router. 

Your guess is right. I'm doing this right now. https://t.co/oZ9YZcA3vP"
7,Ace_KYD,💔💔💔 https://t.co/Wobkje07ql
8,Ace_KYD,"""My name is Alexandra Udinov. Daughter of Nikolai Udinov.""

Man I miss that series."
9,Ace_KYD,On becoming a witness - The Story #AceMeetsTheKing https://t.co/Ft59rZCgtw via @YouTube
10,Ace_KYD,"I just had ""Girlfriend"" and ""Food eater"" follow me. Y'all are wilding on this app 😂"
11,Ace_KYD,We need to check this 6% of people 😂😂 https://t.co/pmNmR9Kt9W
12,Ace_KYD,I just published..... https://t.co/zOih0NccLz
13,Ace_KYD,Empty portfolio? How to get your first job quickly https://t.co/NYPqoxPmOQ via @YouTube
14,Ace_KYD,👏🏾👏🏾👏🏾👏🏾 https://t.co/XyArAoek6x
15,Ace_KYD,The content of this video is heartbreaking. https://t.co/iAD1ypXGTv
16,Ace_KYD,#NewProfilePic https://t.co/Yz5YJpgIF3
17,Ace_KYD,"Regardless of blood right or whatever right, and looking at his actions, do you think Stannis Baratheon was fit to be king?"
18,Ace_KYD,"I stay on Sanyaolu Street.

Today I told the bike man - Sanwo-olu street 🤦🏽‍♂️"
19,Ace_KYD,"Uncle Wale! Uncle Wale! What did you bring for us.

Me: https://t.co/Jo511BinSw"
20,Ace_KYD,🔥 https://t.co/brM5AuOTHM
21,Ace_KYD,Luka Magic https://t.co/kJzOo19yX9
22,Ace_KYD,What our uncle said! 🌚 https://t.co/UM5KhY2pe9
23,Ace_KYD,"I'll start spamming you people my youtube channel now 😂

https://t.co/oVn2kJOdv1"
24,Ace_KYD,Blackout With Friends #3 - Live PS4 Broadcast https://t.co/9H6fBznov4 via @YouTube
25,Ace_KYD,Game time?
26,Ace_KYD,You can do anything you set out to do.
27,Ace_KYD,"SWAT, ICR, Rampart, ABR.

Need to find a balance. #BlackOps4 #Blackout"
28,Ace_KYD,"I think Falz' Talk video is amazing.

https://t.co/DUfmZDcuGo"
29,Ace_KYD,I barely understand the aesthetics of this Sicko Mode song lol
30,Ace_KYD,An on top of the world feeling tbh https://t.co/PwIOoafSGk
31,Ace_KYD,This thread. As usual https://t.co/PhGs8B6qBy
32,Ace_KYD,Would love to see the possibilities of this. https://t.co/AI6IIiFvkU
33,Ace_KYD,The replies 🤣🤣 https://t.co/eW68tbuO5P
34,Ace_KYD,"There's something I've been doing lately when this happens.

I type out my reply like I'll do normally, exert whatever feeling that's in me. Then instead of hitting the Tweet button, I delete.

It has been good so far lol https://t.co/ClQFcy39Ia"
35,Ace_KYD,Send me your dealer's number Shalvah https://t.co/gUc0bFVqrB
36,Ace_KYD,"Unfortunately, my gamepad doesn't last that long. 😩 https://t.co/t1NhXD0AV0"
37,Ace_KYD,Good one https://t.co/6hd3i8meNs
38,Ace_KYD,My King! https://t.co/xENYVW0rbu
39,Ace_KYD,Ah very interesting! Check this out guys! 👇🏾 https://t.co/tsVKWkJZzO
40,Ace_KYD,Congratulations Godson https://t.co/emu10CZjZK
41,Ace_KYD,"If you have a lot of LinkedIn requests, DO NOT BLINDLY ACCEPT! 

I repeat, don't blindly accept all. Accept only the ones you know.

It's spamville out there."
