,name,tweet
0,OluwaYettie,"Tedashii, 
Lecrae, 
NF, Flame, 
Beautiful Eulogy, 
Jackie Perry, 
propaganda, 
Tobi Toun
Dwayne Tryumf, 
Trip Lee
Andy Mineo, 
Jgivens, 
Jonathan Mcreynolds,  
Tori Kelly
Called out music
Angeloh

#ifyouknowyouknow 
Add your fav!"
1,OluwaYettie,"Available at techinpinkafrica@gmail.com 
#BRB"
2,OluwaYettie,Okay.... 😂😂😂 https://t.co/ZqkIGwbbOW
3,OluwaYettie,"I was telling my mum this idea, even telling her how we will arrange chairs. She was just yinmu-ing. lmaoooo https://t.co/S9OPtqrlYt"
4,OluwaYettie,"Isn't programming just awesome? Never written any c++ code before. I'm only conversant with python, ruby &amp; js. 

In just 2 weeks, I was able to learn and write c++ code to simulate Robots playing soccer, and even get to defend the code. Gosh, I love love my career :)"
5,OluwaYettie,"LMAOOO. Can so relate to this.
Can't count how many times I've edited a webpage in order to trick someone 😭🤣 https://t.co/P2bmveo1dI"
6,OluwaYettie,Hillsong Rome Sisterhood Gathering https://t.co/IFe53ZTWzc
7,OluwaYettie,Tonight is the night I visit my DM :)
8,OluwaYettie,"Many people have asked me why I would leave Andela for a masters degree.
I actually didn’t leave. Thread!!!"
9,OluwaYettie,Nothing actually :) https://t.co/dCoBbkaTIY
10,OluwaYettie,And it’s a goallllllllllllll #Robocop2019 #SaturdayInSummary #robotics https://t.co/im9fnNcTDx
11,OluwaYettie,"I'm voting for Abisoye Ajayi-Akinfolarin to be CNN Hero of the Year! https://t.co/aqoTPVqTox #CNNHeroes
Only African on this list, please vote for her."
12,OluwaYettie,Eh God but how can I be able to dance like this Nah? 😭😭😭 https://t.co/EjgwwMEB6s
13,OluwaYettie,"Absolutely, I recommend Coursera courses in AI related stuffs are better. But Farouq, change small nah 😂😂😂 https://t.co/YItU50WR3A"
14,OluwaYettie,"My latest struggle. If you plan to buy the latest macbook pro(2017,2018) and have plans to use LinuxOS via partitioning or even booting from an external drive. DON'T BUY, I REPEAT, DON'T BUY. ABORT MISSION!!! https://t.co/6ectHtcSHB"
15,OluwaYettie,"Many Nigerians need to learn this. When someone doesn't agree with our views, we go defensive and immediately just start throwing tantrums. Phewwww https://t.co/wistHGISov"
16,OluwaYettie,Awon wicked people 😭😩 https://t.co/h5rRnj77L5
17,OluwaYettie,"My #WCW goes to two amazing women.

1. @amakav of @truckrtech
2. @aigehi 

Awon techpreneurs of life. Super proud of you both 😘😘😘😘😘"
18,OluwaYettie,Old video but I still got mad love for Prof. Fei Fei li - https://t.co/Ms9QZW8M3Z
19,OluwaYettie,🤟🏿#DropsMic https://t.co/23y3biSIuG
20,OluwaYettie,Keeping an eye on this magical dope stuff - https://t.co/3sc7VWOyGd
21,OluwaYettie,Dedicating this to @timimatic 😭😭😭 https://t.co/mMC0RV7sBq
22,OluwaYettie,"Just 👏 stop 👏🏻 building 👏🏼 biased 👏🏽 AI 👏🏾 stuffs 👏🏿 already! 
AI is not biased, the people building it are. PERIOD! 

https://t.co/3dQ8mnhywZ"
23,OluwaYettie,Oga sir. We dey wait!!! https://t.co/HEuueEONPS
24,OluwaYettie,💚 https://t.co/DrQyZ35X5g
25,OluwaYettie,"Awwwww, thank you :) https://t.co/K9ItTzj1B4"
26,OluwaYettie,..........
27,OluwaYettie,👏🙌 https://t.co/mYJpu3KGLC
28,OluwaYettie,"History began here :)
Where are my fellow fans? 
#ifyouknowyouknow https://t.co/kBjAQxxdb3"
29,OluwaYettie,"Thanks for giving me the opportunity to share #MyDigitalJourney @xtechhut 

I tried rapping in my words to make it 1min, was quite hard 😅 https://t.co/KBROpyzJJL"
30,OluwaYettie,Mathematics is everything 😍😍😍 https://t.co/3vqCIJa6lL
31,OluwaYettie,"Happy Birthday @ebottabi 
The silent AI guru 🙌🏽"
32,OluwaYettie,"It's official, I'm old 
LMAOOO https://t.co/9sxFe45eIz"
33,OluwaYettie,Oya please help us edaakun. https://t.co/IV865S22kN
34,OluwaYettie,"So many AI-related code tutorials on my mind to write but TIME! 
Shout out to folks who manage to squeeze time to dish out dope tutorials back to back. I need to learn one or two things from y'll. 

I think it's time to start drafting my 2019 goals 🤓"
35,OluwaYettie,"""If you never feel like quitting, that means life is too easy, and you need to take action in your life."" - https://t.co/yUDb0c8OJj"
36,OluwaYettie,"""If you really have the passion, are true to yourself and remain committed to your beliefs, it will turn out that even in the most difficult situations, you’ll discover within you a capacity to create a solution.""

After 3 years of writing this, it still helps me a lot!"
37,OluwaYettie,interesting... https://t.co/ZAGyCTvM9R
38,OluwaYettie,"""You have to be smart. The easy days are over."" –Robert Kiyosaki"
39,OluwaYettie,gbam!!! https://t.co/x5Q74RyUaS
40,OluwaYettie,https://t.co/4SZHBY5RZw https://t.co/nDW8U9yOLI
41,OluwaYettie,#okbye https://t.co/xFnnEQ48aY
42,OluwaYettie,Damn!!! https://t.co/mqTczADLcz
43,OluwaYettie,"👓= null 
#faceswithoutmyglasses 
I think it’s time to try contact lens. https://t.co/PyVgSSINNg"
44,OluwaYettie,Comments under this tweet are killing me 🤣🤣🤣 https://t.co/l4z2T2dPhD
45,OluwaYettie,cc: @Itolimaesther https://t.co/RZIIuzIYyu
46,OluwaYettie,"Sometimes, we don't know what we're doing but we do it for a sense of purpose &amp; fulfillment. 
Thanks @stojanovic_olja. 
From a DM to sisterhood is something I can't take for granted. Thanks for being an awesome support system. Words can't be enough  #WorldOliveraDay https://t.co/XcgizXkUFk"
47,OluwaYettie,The future is female 😛😛😛 https://t.co/HhxpF9X2zD
48,OluwaYettie,Here I am 🤚🏽 https://t.co/S3s7KVQ7Km
49,OluwaYettie,Ouch! https://t.co/6rtQ4Us5x5
50,OluwaYettie,"I use to be confident of my skills to an extent considering I’ve been doing software engineering for a while.I started postgrad and boom,it’s like I’m just starting to learn all over again.I feel like a FIRST CLASS OLODO

Probably I would quit school if I never felt that way 😂😜 https://t.co/BmTRYBjb2c"
51,OluwaYettie,I agree :) https://t.co/cZLNKXHhoy
52,OluwaYettie,The dreams and nightmares of AI - https://t.co/gISzCXC3mC
53,OluwaYettie,Ahahahahahah I love this :) https://t.co/NZSZr8j0TL
54,OluwaYettie,"Call me feminist or not? I care less but I firmly know I’m always extra excited when I see women winning. 

Hey, I’m excited for a man too but a special one for the ladies 💗

Special Wednesday shout out to all WIT. Yes, you rock!"
