,name,tweet
0,markessien,Internship opportunity in data science https://t.co/z0ZxdIdchC
1,markessien,Register for HNG Internship 5.0: https://t.co/qdA52GMXpn
2,markessien,Tongo usen ikut oduo ito ikpaha ufik efit.
3,markessien,"In Cinemas from december 28th, actually! https://t.co/8Zko93rcnJ"
4,markessien,"Up North, the movie by @EditiEffiong, is premiering Dec 26th. Make sure you see it this year! https://t.co/MQ1wYdgzoH"
5,markessien,"Tommorow is Startup Friday featuring me, among others. Enjoying my Abuja time, very different vibe from Lagos. https://t.co/gPvULQxgwv"
6,markessien,In Abuja for @ngrinnovation #startupfriday
7,markessien,"We have more doubt about what works than what does not work. E.g, 'I went on this boat and it sank' is not weighed the same as 'I went on this boat and it did not sink'. Hence, experienced people avoid a lot of what did not work, while doubting what did work."
8,markessien,What are the things you would want a president of Nigeria to do in 2019 for tech startups and software developers?
9,markessien,I have about 15 items left in my Todo list. Any new item from now on is going into the 2019 folder.
10,markessien,"I don't think it matters much if a person is late for a job interview. It is very rare that someone actually choses to be late, mostly it is something beyond their control. So judging them on that is very flawed and bad interviewing."
11,markessien,A thread of some gadgets I use (in case you are looking to buy gadgets as xmas present for someone this year): 1. The Devolo dlan for getting internet around your house without using Wifi. Uses your electrical circuits in the house to transmit electricity. https://t.co/o7KsYj2Lj8
12,markessien,"Happy to announce, that after close to 6 months of struggle, the desktop PC I built is no longer electrically shocking people who press the left shift key."
13,markessien,"Solar and connected homes have the same problem - they require home modifications, which are hard and expensive, even if you call in an external party."
14,markessien,Data science folk see here https://t.co/KZQtJ8ZCBB
15,markessien,"If you want to know how bitcoin price will move, you can use this chart: https://t.co/TrQylhUdmx. The more dominant bitcoin is, the more the price goes down. If the trend is towards bitcoin dominance, then the price trend will remain downwards."
16,markessien,"It's very easy to forget that someone did a favour for you, but the person remembers and is upset that you never acknowledged it. If you did me a favour and I have forgotten, I beg your forgiveness. And please, do remind me of it, I am not ungrateful, just may have lost track"
17,markessien,Nigerians only: how do you transfer money to people?
18,markessien,"If you are sick of Nigerian politics as usual, with the same old politicians, instead of doing nothing - just vote @obyezeks and @acpnhope. Your one vote is the way you can protest and say that you are tired."
19,markessien,"If you are a graphic designer or into video production, you can also volunteer for the @obyezeks campaign...equipment is available https://t.co/OyNfr1QTXx"
20,markessien,Cameroonian president Paul Biya and his wife are such regulars at Geneva’s Intercontinental Hotel they have code names: Him and Her https://t.co/xEiD1t6rb9 via @WSJ
21,markessien,"If you are a software developer/designed willing to volunteer to work on a platform to support @obyezeks political campaign, dm, tweet or email me"
22,markessien,"I'm a big advocate of Nigerian developers moving abroad. Because there is no shortage of local developers. There is only a shortage if you are unwilling to invest in their training, but you want them to come work when they are trained - and at below global market prices."
