,name,tweet
0,mykeels,"At this time last month, we were preparing to celebrate New year. 😩"
1,mykeels,The real innovation in consumer products for the Nigerian market will be finding a way to make the products cheap.
2,mykeels,Throwback to when Podrick was so awesome that whores returned his money.
3,mykeels,"There's a beast in every man, and it stirs when you put a sword in his hand. - Jorah Mormont"
4,mykeels,This ADP guy is brilliaaaaaant!
5,mykeels,"All the candidates are brilliant, I must say."
6,mykeels,"Lagos Gubernatorial Debate going on now on Channels TV Live.

Why's the audio bad na? 😩"
7,mykeels,"Watching GOT, and skipping the Theon Greyjoy torture scenes &gt;&gt;&gt;&gt;&gt;&gt;"
8,mykeels,Daenerys saw an alternate Future in the house of the Undying.
9,mykeels,"And now the rains, weep o'er his halls, with no one there to hear."
10,mykeels,Jamie Lannister was Dyslexic.
11,mykeels,The Iron Bank funds the biggest claimant to the Iron Throne. https://t.co/UqAx1VgYAz
12,mykeels,"If you've been drinking, ask a friend to drive you, call an Uber, or enter public transport.

Just don't drive! https://t.co/OfhXzat69y"
13,mykeels,"Your fav political party plagiarised a foreign president's manifesto.

https://t.co/pnAI0CWjnS https://t.co/RIIPnHtUCW"
14,mykeels,Why are Russians in movies almost always in track suits?
15,mykeels,"On Windows, open command prompt and type:

pkgmgr /iu:""TelnetClient""

Open another and type:

Telnet https://t.co/BO1pmX7JsB

... Thank me later

&gt; Use ""nc https://t.co/DAP8Nzphi3 23"" for Linux and Mac https://t.co/m7dJwb1nmy"
16,mykeels,"FAAAAAAAAAALZZ!!!

https://t.co/6i07mlutFR"
17,mykeels,"""There can only be two outcomes ... you lose, or your lose ... like Buhari or Atiku.""

I STAN!"
18,mykeels,Is that Ugba? https://t.co/pTe7cdwdjo
19,mykeels,See how y'all sound? https://t.co/ou5K7kNw0k
20,mykeels,"The Titanic shall sail again.

Khal Drogo shall ride again.

Naija will be great again."
21,mykeels,DOMSubtreeModified
22,mykeels,👇! https://t.co/Pt2YeLfL8q
23,mykeels,"What would you do with your life if you knew there were no limits? — No limits?

I'd do justice! https://t.co/Pi9aWbDpVb"
24,mykeels,A watched pipeline never builds
25,mykeels,"Somehow, the twitter accounts, @mediocoder and @mediocodre are still available"
26,mykeels,Some people make their money from just telling other people what could be improved in their process.
27,mykeels,Feels so good to work again 😩😩😩
28,mykeels,I'm just trying to imagine a station like Channels or AIT cutting off the president for being unentertaining. https://t.co/VEPMiPXekD
29,mykeels,https://t.co/iQiEGnnct1
30,mykeels,We need to start teaching babalawos consent
31,mykeels,😂😂😂 https://t.co/SstwLkBrxj
32,mykeels,"""This old guitar taught me to sing a love song
It showed me how to laugh and how to cry ...."""
33,mykeels,"""One is a genius, the other's insane""

I've never been able to decide which was which, between Pinky and the Brain https://t.co/fPQ9WE1d1k"
34,mykeels,Haaa! https://t.co/8qTxeNDabL
35,mykeels,"""Hey Michael, we saw someone who looks like you, but he's a lot finer ...""

Let's leave that in 2018 please. 😒"
36,mykeels,"Sansa's learning process was slow, but worth the wait."
37,mykeels,"Luke 1:38 ""I am the servant of the Lord. Let this happen to me as you say!"" https://t.co/cf8D70vlst"
38,mykeels,"""You will not hear me scream!""

Said, right before she began screaming 😭"
39,mykeels,"So, I will ask you once more, Snow, are you a brother of the night's watch, or are you a bastard born of Winterfell, who wants to play at war?"
40,mykeels,"That Nkem Owoh was in a movie where he's a relative and isn't the bad guy, is no small feat."
41,mykeels,"Well, farewell Snow ... And you, Stark."
42,mykeels,😂😂😂 https://t.co/0Z45XmxQU4
43,mykeels,"See, I don't want to hear anything.

Pete Edochie is the ultimate Igbo Man. 😂"
44,mykeels,The Family Meal Scene in the LionHeart movie is just dope! 😂
45,mykeels,It is a poor kingdom that wages a war on its own soil.
46,mykeels,"70  ,, '&amp; 😗🍆🌼 https://t.co/EOxrT3Zhd2"
47,mykeels,"H,4gyy,_""_3_ ,""*f, https://t.co/EOxrT3Zhd2"
48,mykeels,"Today, I re-learned about Shift Registers.

Funny how I knew the theory back in school, but didn't grasp its implications."
49,mykeels,"There's a vendor on @JumiaNigeria you should never ever buy things from.

I'll tweet at soon as I find its name."
50,mykeels,Holiday ti over sha 😒
51,mykeels,Is a referendum constitutional in Nigeria? @inecnigeria
52,mykeels,"Better pray realistic prayers.

Which one is work again? https://t.co/BOnQBZeRk9"
53,mykeels,"This guy is teaching his babe how to code, and it's so touching 😒"
