,name,tweet
0,risin_developer,I want the power to do this kind of research. 😥 https://t.co/fQVUdNIHHR
1,risin_developer,"I swear, if I see the ""master data science in one month"" ad again....I'll ...😥😥"
2,risin_developer,"I'm texting blessings to you this week🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌
Your codes will throw cookies.😳

Your models will be born with optimal parameters.😋

Your data shall be delivered to you as clean as possible and will correctly represent the population it was drawn from.

#Thread"
3,risin_developer,"4 years tenure, 3 years holiday. 😂😂

@falzthebahdguy is something else. https://t.co/9ZXlEuHHB2"
4,risin_developer,Cheat sheet for Ethical Big Data Practice.. #EthicsInBigData https://t.co/DA3qSXhu3J
5,risin_developer,"There are lies, there are lies and there's statistics. 

And it's easier to lie with statistics. 😂"
6,risin_developer,"After the hype, reality sets in."
7,risin_developer,"What Happened to the windows?

#CES2019 https://t.co/ZRZvdpb1X1"
8,risin_developer,np.nan https://t.co/olzqQRyZSh
9,risin_developer,"In Nigeria, I know there's a negative correlation between rainfall and NEPA light. 

Since I got to Delta State last week, I think  Sun-Shine has joined.😅"
10,risin_developer,"On things to note when conducting data surveys by Tom Carpenter. People invent answers when questions require complex thought. 

E.g the question "" How do you feel about Ice cream on Tuesdays vs Wednesday?"" Seems simple, but in reality is a really complex question."
11,risin_developer,"Yeah, but then we'd be looking at causations and studying correlations instead of doing predictions; cos we want to know the underlying base our model used in making it's predictions.
If wee the cause, then we can proffer solutions. https://t.co/NMcSEsesiz"
12,risin_developer,"So @ASUUNGR are meeting on Thursday and will probably suspend the strike if all things go well.
 That means this model will probably have an error of around 2weeks assuming school resumes on Monday next week. 

Not bad for a lazy -play-play model https://t.co/DXrX1MM1Ig"
13,risin_developer,Been sleeping less than 4hrs the past week and I don't even have VC funding yet. 😅
14,risin_developer,🙌🙌 https://t.co/Vl17fqxKbW
15,risin_developer,"Okay, this was fun to do. 😂

What if I told you that the ongoing #ASUU strike will only last for approx.2 months, 3 wks and 4 days.

Well I might be right 😊 or wrong, it might end tonight. 🙄

Here's how I used a little statistical modelling to get my prediction. 

#Thread"
16,risin_developer,"Once you learn to carry your own bucket, you'll know the value of  every drop. 💧"
17,risin_developer,"This is definitely the best description  of Java and co. 😂
The last part got me. https://t.co/I6g1hbWKkl"
18,risin_developer,"If you could start all over as beginner, which programming language would you learn first?

Me: Python"
