,name,tweet
0,robert_thas,I just published Regularization in TensorFlow using Keras API https://t.co/W2x8z28wWs
1,robert_thas,My good friend Griffiths brings motivation to the community and beyond. I am always glad to associate with him. https://t.co/j7g2gZDR7X
2,robert_thas,https://t.co/RYjqmPyXkf
3,robert_thas,This plane is full! Whole world going to KD. Probably the second-to-last flight before Christmas.
4,robert_thas,MM2 now has check-in kiosks!
5,robert_thas,I just published my year in review - https://t.co/ZU0paqci4z
6,robert_thas,Read the comments. These are @macgriffiths people! https://t.co/wU7Dr55hxd
7,robert_thas,“The Complete Farmer team celebrates the life of Charles Ofosuhene” by Desmond Koney https://t.co/bTqvHvIwjS
8,robert_thas,Join Amnesty International and protect human rights. https://t.co/NUtd13Zrrd
9,robert_thas,"This thread though, I wish a Russian would send me a polar bear https://t.co/C3HPecLEdk"
10,robert_thas,The funny thing about this tweet is the fact that the OP is not from around here. Very impressive! https://t.co/JWSVDmImSY
11,robert_thas,"“Android Things, cats and dogs” by Nnamdi Ajah https://t.co/VVNPYyNA5r"
12,robert_thas,"With Soonson Kwon, global lead for the ML GDE program, and the two ladies who turned up. @ Google Event Center - Mp7 https://t.co/vOUnkHiw9B"
13,robert_thas,Machine Learning Google Developer Experts @ Google Event Center - Mp7 https://t.co/gf1lZkLxJj
14,robert_thas,I can look back on 2018 with the realization that my mentoring is beginning to bear fruit. What a relief!
15,robert_thas,I spoke at the #DevStartupSummit organized by @facebook and #DeveloperCirclesLagos. My slides on #MachineLearning with @PyTorch are available here: https://t.co/YelgavLhj3
16,robert_thas,Look who found me at the summit. @attisamuelson https://t.co/CUxjqGxZXP
17,robert_thas,"People, free courses/specializations! https://t.co/3xzM6qub5T"
18,robert_thas,"Chuka is talking about how the way we build applications has changed over time, and the need to keep applications from crashing when more users adopt your application. #gcdclagos @gdglagos https://t.co/L1WxMhHkZr"
19,robert_thas,Chuka Ofili @chukaofili is onstage talking about Scaling Infrastructure. @gdglagos #gcdclagos https://t.co/VZlLWwuVXc
20,robert_thas,At Google Cloud Developer Community Lagos with @dftaiwo and @chukaofili https://t.co/4nxRNgeUvz
21,robert_thas,It's the end of the first day of a three-day Design Sprint. What's that? Read about Design Sprints here: https://t.co/P0pXRyALNy
22,robert_thas,Google Developer Experts from Sub-Saharan Africa. We are missing Johann in this photo. @ Googleplex https://t.co/SjrhTn83TX
23,robert_thas,https://t.co/DSFrvlMEQg
24,robert_thas,"I attended @GDGAddis #DevFestAddis. Here is my summary: https://t.co/QNrLrwziPy

@aniediudo @Olaiw0la @_jkimani"
25,robert_thas,"To take PyTorch models to production, you add annotations to functions. An intermediate representation is produced, which you can then run from a virtual machine. #pytorchudacityscholar"
26,robert_thas,Gradient Descent with Momentum helps you get over local minima during training. #pytorchudacityscholar https://t.co/ssyZuAxqJL
27,robert_thas,"Some ways to prevent overfitting in a model: early stopping, regularization, dropout. #pytorchudacityscholar"
28,robert_thas,More on regularization. #pytorchudacityscholar https://t.co/FfqaYGdCty
29,robert_thas,L1 and L2 regularization summarized. #pytorchudacityscholar https://t.co/ncCz9zGCuI
30,robert_thas,Large coefficients lead to overfitting #pytorchudacityscholar
31,robert_thas,#pytorchudacityscholar https://t.co/Y13FoT86a5
32,robert_thas,"We still have the Android Things kit, and we would like to show you how to set it up and deploy apps to it. This Saturday, 2pm @CoLab_kd https://t.co/LKpILI9But"
33,robert_thas,More photos from #DevFestKaduna #DevFest18 #DevFestStories https://t.co/mWIm8RdExh
34,robert_thas,Startup keynote: a case study of Payant happening now #DevFestKaduna #DevFest18 https://t.co/oDAGLBDFbI
35,robert_thas,"Happening now, #DevFestKaduna #Devafest18 at Kad ICT Hub https://t.co/uFbIf6AoNH"
36,robert_thas,#DevFestAddis is underway at Ethiopia Hotel. #DevFestStories #DevFest18 https://t.co/hpULDRb51a
37,robert_thas,You have two options for finding a good model: maximizing probabilities (requires multiplication) or minimizing cross entropies (requires addition). The addition is computationally less expensive. #pytorchudacityscholar
38,robert_thas,"Know your Cross Entropy: for each probability, take the logarithm and multiply by -1. Then add everything up. That is your cross entropy. Smaller is better. #pytorchudacityscholar"
39,robert_thas,I spent four nights in Uganda. #DevFestMbale #DevFest18 was awesome. Read about it here: https://t.co/lMMUp2nOOF Thanks to @googledevs for sponsoring the event and my trip. @NsubugaHassan @aniediudo @Olaiw0la @_jkimani
40,robert_thas,I will be participating in the @udacity @PyTorch scholarship challenge by @facebook. I am grateful for the opportunity to expand my knowledge and to give back to the #ML community soon. https://t.co/8C9cSvOPoE
41,robert_thas,The “ Zero Power Rule” Explained by Brett Berry https://t.co/VKKwWvUesy
42,robert_thas,With @MayeEdwin1 at #DevFest18 #DevFestMbale #DevFestStories https://t.co/fE6oy4QiLJ
43,robert_thas,Off to #DevFestMbale #DevFestStories #gde @ Murtala Muhammed International Airport https://t.co/PpcszWnLHO
44,robert_thas,At a workshop for Developer Circles titled AI Fiesta @ Uyo City https://t.co/lFIFMLC78d
45,robert_thas,“The Binomial Theorem Explained” @mathhacksco https://t.co/qOg4IO2ql1
46,robert_thas,"Another of my completed Specializations @GCPcloud ""From Data to Insights with Google Cloud Platform"" https://t.co/HaZZLNfD9e"
47,robert_thas,"One of my competed specializations on @GCPcloud is ""Data Engineering on Google Cloud Platform"" https://t.co/0GMeGaBYfr"
48,robert_thas,"And, I will be a guest speaker at this event. https://t.co/DJOnJGQElq"
49,robert_thas,"#sepCNN Working on tutorials for word embeddings, and I find myself reading ""Xception: Deep Learning with Depthwise Separable Convolutions"" on the continuum between convolutions and separable (cross-channel and spatial) convolutions: https://t.co/2I77nqRgwr"
50,robert_thas,Flying in Nigeria is a scam! Still at Kaduna International 5 hours after my @AzmanAir flight should have left. No updates whatsoever! @FAAN_Official what is the regulatory procedure?
51,robert_thas,I just published “Android Things Meetup” https://t.co/yLqb9j2xOx
52,robert_thas,The #Android #Things NXP board has been assembled. Our Meetup is underway @CoLab_kd https://t.co/yIczfaxR3U
53,robert_thas,Demilade and Nnamdi are showing participants how to setup the #Android #Things developement board during our @Meetup happening at @CoLab_kd https://t.co/nmCE2D9xJO
54,robert_thas,I just published “I attended the GDG SSA Community Summit” https://t.co/YgZM1sscJl
55,robert_thas,Not too busy to forget. Happy birthday @dejiibrahim_
56,robert_thas,"Thanks to @googlecloud and @gdg , people are acquiring skills. Send me a message if you are interested. https://t.co/V8N0qvDztO"
57,robert_thas,Congratulations. Proud of you for making the commitment. I look forward to sending more opportunities your way. https://t.co/fX7qFR7ubW
58,robert_thas,This little beauty followed me back from Nairobi #DevFest18 #DevFestNairobi #GDGSummit courtesy of @google @gdg . The #IoT guys at @CoLab_kd have set it up and will be demonstrating #AndroidThings and #CloudIoTCore on October 7th in Kaduna. RSVP:  https://t.co/0LRfkYGz9s https://t.co/2cNY1lYW9G
59,robert_thas,"Learn about Android Things and IoT on Sunday, October 7th with Google Cloud Developer Community, Kaduna. Follow the link to RSVP https://t.co/g8rW4h7cjA #Meetup #Kaduna #TensorFlowLite #Android #Things @CoLab_KD via @Meetup"
60,robert_thas,https://t.co/Zd3sWiwtaK
61,robert_thas,When I am sure of what I am talking about @ United States International University - Africa https://t.co/iPI7N3fIlm
62,robert_thas,Thanks for the opportunity to share some knowledge and network #GDGSummit #devfestNairobi @gdg @googledevs
63,robert_thas,The developer relations team worked tirelessly. @ Crowne Plaza Nairobi https://t.co/y8DCyTS6O3
64,robert_thas,Just posted a photo @ Crowne Plaza Nairobi https://t.co/mNtqnzdMRo
65,robert_thas,20 minutes for my session on the first day. Trying to get the communities to teach tf.keras to their members @ Crowne Plaza Nairobi https://t.co/d0jJxdUFVh
66,robert_thas,Turns out eight of us were the final batch to depart. Only four in this photo. @ Murtala Muhammed International Airport https://t.co/eioZpPVqFb
67,robert_thas,I left for Nairobi on Thursday to speak at two different events. @ Murtala Muhammed International Airport https://t.co/ch2vyQgUvt
68,robert_thas,"At the United States International University for #devfestnairobi #devfest18 #nairobi. @ Nairobi, Kenya https://t.co/54XX4lpxqH"
69,robert_thas,https://t.co/UwcYqEi7Ua @moyinfesobi @iPablo26 @olayinkapeter_
70,robert_thas,"The slides for my session ""Machine Learning with tf.keras"" at #GDGSummit #Nairobi are available here: https://t.co/wHkAoDoUmH"
71,robert_thas,"The slides for my session ""Getting TensorFlow Models into Production"" at #devfestNairobi #devFest18 #Nairobi are available here: https://t.co/rddBubDFhA"
72,robert_thas,#DevFest #Kigali https://t.co/4AfDBypzZP
73,robert_thas,#GDGSummit #Nairobi https://t.co/WHPq7C2ZA5
74,robert_thas,"I am glad this session was in French because of the amount of information transmitted. Definitely, more of this. https://t.co/j1XqJWMWKE"
75,robert_thas,#GDGSummit #Nairobi underway. Lots of interesting topics and participants. Glad to be here. @gdg @googledevs https://t.co/sVcUW2TAQ0
76,robert_thas,"#GDGSummit #Nairobi underway. Fortunate to be attending, and I will be presenting on ""Machine Learning with tf.keras""."
77,robert_thas,https://t.co/Pvd4vx1BBz
78,robert_thas,What is coming in TensorFlow 2.0 https://t.co/8sCtp1zGjg
79,robert_thas,My proposed session topic “Getting TensorFlow Models into Production” was accepted for #DevFest18 #DevFestNairobi which is shaping up to be the biggest #gdg event of the year!
80,robert_thas,Backpropagation: Calculus on Computational Graphs. https://t.co/Z1rUoYGIQw
81,robert_thas,“Yes you should understand backprop” @karpathy https://t.co/6IAqIiOAcW
82,robert_thas,"Sub-Saharan Africa in one photo @ Nairobi, Kenya https://t.co/V6snUeUgBM"
83,robert_thas,"With Rod Nolan at Nairobi Garage , October 2017 @ Nairobi, Kenya https://t.co/ZZQxufGCwH"
84,robert_thas,"Twenty years ago, I was moving data on floppy disks. Ten years ago, I wasn't aware of the field I am in now. In the image below, cost is on a logarithmic scale. https://t.co/eAfECkMRQ6"
85,robert_thas,"I do some public speaking, and only just created my speaker profile. You can check it out here: https://t.co/2zxPGevbwl"
86,robert_thas,Next ‘18 Extended Kaduna happening at @CoLab_kd https://t.co/3xTKipA8Ek
87,robert_thas,"If you turn up for the #CloudNext18 event happing at @CoLab_kd at 11am Saturday 1st September, you will get one month free ($49) of any of the specializations on this page https://t.co/ro45yAM2CA which includes unlimited access to @qwiklabs ($66) and more."
88,robert_thas,Coming up tomorrow: Next '18 Extended Kaduna https://t.co/KTByVIMZ3P #Meetup #Kaduna via @Meetup
89,robert_thas,#CloudNext18Extended comes up in Kaduna tomorrow. Who is excited? @CoLab_kd https://t.co/J4htbtrvtJ
90,robert_thas,The New Science of Seeing Around Corners https://t.co/mi1LaDM0lF via @QuantaMagazine
91,robert_thas,“From Building AI to Making AI Safe: Ilya Sutskever’s Story” @AI_Frontiers https://t.co/3TNgFlOm3Z
92,robert_thas,https://t.co/9y4YyhbFOE
93,robert_thas,“Five books every data scientist should read that are not about data science” https://t.co/LCfSdGrikY
94,robert_thas,“Scaling with the Power of Android Things and Cloud IoT Core” https://t.co/NY3x1mSJFK
95,robert_thas,Getting data into TensorFlow Models: https://t.co/G6PBmpNpQx
96,robert_thas,"Provision your devices using #Google #Cloud #IoT by Ajah Nnamdi Judges
https://t.co/7Xp1HtrDJH"
97,robert_thas,https://t.co/OZtKerxMid
98,robert_thas,Shocking! https://t.co/YMtEvqrO8e
99,robert_thas,"""Predicting ad click-through rates (CTR) is a massive-scale
learning problem that is central to the multi-billion dollar
online advertising industry"". That is the abstract from a paper I am reading that introduced the FTRL optimizer. https://t.co/0VLGR9ogR5"
100,robert_thas,I just published “Getting Data into TensorFlow Estimator Models” https://t.co/9adpyc78Rm
101,robert_thas,"I must not forget to thank @MercyMarkus , @mudiaimasuen  and Nnamdi for making the #GoogleCloud #IoT event a success. Also, Nigerian Defence Academy have invited us to host a Meetup in October at their premises. Who is excited? @CoLab_kd"
102,robert_thas,We had an awesome turnout for the #GoogleCloud #IoT Meetup held at @CoLab_kd. About 40 people registered for the event. We went from sending signals to #PubSub to streaming those into #BigQuery and visualizing summary data. Photos coming soon.
103,robert_thas,Scant Evidence of Power Laws Found in Real-World Networks https://t.co/hsZZUiEoHP via @QuantaMagazine
104,robert_thas,Scant Evidence of Power Laws Found in Real-World Networks https://t.co/hsZZUiEoHP via @QuantaMagazine
105,robert_thas,How Network Math Can Help You Make Friends https://t.co/mRAjrlbmmO via @QuantaMagazine
106,robert_thas,How Network Math Can Help You Make Friends https://t.co/mRAjrlbmmO via @QuantaMagazine
107,robert_thas,"In Mysterious Pattern, Math and Nature Converge https://t.co/hYEvjW1yz6 via @QuantaMagazine"
108,robert_thas,"In Mysterious Pattern, Math and Nature Converge https://t.co/hYEvjW1yz6 via @QuantaMagazine"
109,robert_thas,A quick overview of statistical tests: https://t.co/htRPPa8p6I
110,robert_thas,Check out this video on variational autoencoders https://t.co/vdYk4kA8SA
111,robert_thas,“The Machine Learning Workflow” by Markus Schmitt https://t.co/kSV3iN9HfS
112,robert_thas,“9 Things You Should Know About TensorFlow” by @quaesita https://t.co/x8zcCVmI4e
113,robert_thas,“The Deep Learning(.ai) Dictionary” by Jan Zawadzki https://t.co/nYqyqONEIO
114,robert_thas,“Join Me On Thursday For Our Online Open House For Udacity’s School Of Autonomous Systems!” by @dsilver829 https://t.co/AgHAQwnMCh
115,robert_thas,“Introduction to Compute Engines on GCP” by @robert_thas https://t.co/bXxYpMKIIf
116,robert_thas,“Data Warehousing with BigQuery on GCP” by @robert_thas https://t.co/3PuPUrSTPS
117,robert_thas,Some Intuition behind Machine Learning https://t.co/sFLqr53kqX https://t.co/OXuYA9rKv9
118,robert_thas,Why do we need Machine Learning? https://t.co/rb0fvw76S4 https://t.co/BVWoK8AqLw
119,robert_thas,A layman's introduction to Machine Learning. https://t.co/ukeDVRNrlR https://t.co/6tiY638ZRF
120,robert_thas,This here looks like a new set of tutorials https://t.co/7ncihhZ94M
121,robert_thas,How to implement L1 regularization in TensorFlow https://t.co/E4NmtWiv3v
122,robert_thas,Why Cloud Dataproc? https://t.co/Fwh1F2VW0S
123,robert_thas,Getting Started with BigQuery https://t.co/nEgG6fPycT
124,robert_thas,Google BigQuery has public datasets for educational purposes. You can find them here: https://t.co/x7dir2eIfX
125,robert_thas,"Happy birthday @JonathanItakpe , have loads of fun."
126,robert_thas,With Innocent and Barbara @ Civic Hive https://t.co/0GbpiMrptR
127,robert_thas,"Day 27 of #APaperADay by @NurtureAI. Reading ""Efficient Progressive Neural Architecture Search"" in which the authors demonstrate increased search efficiency by relaxing the role of the surrogate function in sequential model-based optimization search. https://t.co/p2C5sOcd93"
128,robert_thas,"Day 26 of #APaperADay by @NurtureAI . Reading ""Effective Use of Word Order for Text Categorization with Convolutional Neural Networks"" in which the authors combine 1D convolution with bag-of-words for text classification."
129,robert_thas,A Poet of Computation Who Uncovers Distant Truths https://t.co/ByCnRCjuwO via @QuantaMagazine
130,robert_thas,A new algorithm for streaming data https://t.co/ty7MCb7Ouw
131,robert_thas,Universal Method to Sort Complex Information https://t.co/J9nUGSIIpB
132,robert_thas,"Day 25 of #APaperADay by @NurtureAI. Reading ""Accurate, Large Minibatch Sgd: Training Imagenet in 1 Hour"" in which the authors learn to train an image classifier with a humongous SGD size of 8192! The hardware? 256 GPUs. https://t.co/uiFx4F1BbC"
133,robert_thas,"Day 24 of #APaperADay by @NurtureAI. Reading ""Building Machines That Learn and Think Like People"", in which the authors offer a different perspective on the quest for Artificial General Intelligence."
134,robert_thas,“Why Cloud Dataproc?” @robert_thas https://t.co/ZzLsXtWFbe
135,robert_thas,“Introduction to Compute Engines on GCP” @robert_thas https://t.co/dpM4TKSGZj
136,robert_thas,"Day 23 of #APaperADay by @NurtureAI. Reading ""mage2gif: Generating Cinemagraphs Using Recurrent Deep Q-networks"" in which the authors learn to generate animations given a static image."
137,robert_thas,Universal Method to Sort Complex Information Found https://t.co/J9nUGSIIpB via @QuantaMagazine
