,name,tweet
0,unicodeveloper,Amadioha is really a helper to the helpless. https://t.co/Z0SaGToNHd
1,unicodeveloper,"Chief, congratulations!!! We are proud of your strides. 🔥

Let's have beer soon. https://t.co/TCgmW5b2yq"
2,unicodeveloper,"A new day, another opportunity to be world class. 🔥🔥🔥🔥🔥"
3,unicodeveloper,"A new day, another opportunity for you to know that @forlooplagos will now otherwise be known as “forloop Summit” 🔥🚀😁 https://t.co/GrTJkqduUB"
4,unicodeveloper,"Learn to code you will not hear word, see application of machine learning in in deciphering uncertainties on this app. 😅😅😅

Twitter streets are no longer for the weak. **Back to my pepper soup &amp; milkshake**"
5,unicodeveloper,"Gathered options from my previous tweet about renaming @forlooplagos meetup to be something more than a just a “Meetup”.

Please, make your vote count 😁 #forloopNigeria #forloop"
6,unicodeveloper,"Okay, just to be clear. 

We can no longer call @forlooplagos meetup a “meetup” again because the sheer size of attendees, venue size and quality of speaker talks qualifies it to be an actual conference.

So what should we call it, apart from using “conference” ? Any suggestions?"
7,unicodeveloper,"Thinking about @forlooplagos for this quarter and getting the space alone is killing me!

Too many folks come for @forlooplagos   and the space that can accommodate us is TechZone Park, Gbagada. 

The cost for a day is high. Who wants to bail us out? 😩🔥🚀 #forloop"
8,unicodeveloper,🌚🔥 https://t.co/oDJhpRnml1
9,unicodeveloper,Are they still awake? I mean these programmers that never really sleep 🌚 https://t.co/K2J1Q1tXD0
10,unicodeveloper,This thing dey sweet my belle. https://t.co/Ll6d9OtHeO
11,unicodeveloper,My God!!! https://t.co/NbA3wfDMmi
12,unicodeveloper,"All of us dey share bread and akara wella no mean say I no fit afford Sugarcane and FarmCity.

@asemota should have a better proverb for this situation. Lagos will make you think all of us are in it together...once oja burst, you’d be surprised what people have! https://t.co/rLe8JRaw6L"
13,unicodeveloper,"Nigerian Software Engineers, see something 😊 https://t.co/ilVysb8RFJ"
14,unicodeveloper,HTML - How To Make Love
15,unicodeveloper,"So, @taylorotwell am I speaking now? 😅 https://t.co/85Mp80RQHp"
16,unicodeveloper,"The law of nature &amp; Archimedes principle will make you know that 480 seconds is too much. 

On a normal day, 60 seconds is okay. 

On the day you get promoted, 120 seconds is the real deal. 

Now, on the day Buhari loses, nothing less than 30 minutes is acceptable. https://t.co/6UUlyOpI4V"
17,unicodeveloper,"Just learned something new. 😊

When I feel overwhelmed about something on Twitter and have a strong urge to reply in a not-so-positive way, I’ll just say the following: “I’m not going to let this bother me” and move on."
18,unicodeveloper,"If you’re not following this smart and creative programmer @theshalvah yet, then you are missing something. 🔥

Go follow him, thank me later! 😊"
19,unicodeveloper,Don’t step foot in Yaba in your life again! https://t.co/8FE9ZVGe4m
20,unicodeveloper,How? 😳 https://t.co/Y1cP6DzORT
21,unicodeveloper,I’ll start a new blog this weekend because of you and I’ll feature you in technical writings of how you built @this_vid and @RemindMe_OfThis 😁 https://t.co/I2f7s1MmJQ
22,unicodeveloper,Don’t sleep on this! 🔥🚀 https://t.co/WXWAXNywRZ
23,unicodeveloper,"A new day, another opportunity to be focused, find a niche, fill it and become unstoppable. 🔥🚀"
24,unicodeveloper,"The story of spilled &amp; wasted sperm in Genesis 38:6 - 10.

I read that verse this morning &amp; more clarification is needed for this passage.

Did God kill Onan in view of the fact that he didn’t want his brother to have children or because his “Pulling Out” game was too strong?"
25,unicodeveloper,"Congratulations, Adeleye!!! https://t.co/74M4gmOm9i"
26,unicodeveloper,LMFAOOOOOOOOOOOO https://t.co/M9lOSfBYwD
27,unicodeveloper,Congratulations!!!!!!!!!! Another one is gone 😅😅😅🔥🔥🔥🔥🚀🚀🚀 https://t.co/SWmhN8qKEc
28,unicodeveloper,"A new day, another opportunity to be world class 🔥🚀"
29,unicodeveloper,"😳😳🤦🏿‍♂️🤦🏿‍♂️ Chief, calm down abeg https://t.co/UCCWYzmp4A"
30,unicodeveloper,🤦🏿‍♂️🤦🏿‍♂️🤦🏿‍♂️🤦🏿‍♂️🤦🏿‍♂️🤦🏿‍♂️🤦🏿‍♂️ https://t.co/lCAAcJ5giz
31,unicodeveloper,Context is really key. I read the first sentence of this tweet &amp; I was already in a different world of understanding. https://t.co/aIKoSn9pIc
32,unicodeveloper,LMFAOOOOOOOOOOOOO https://t.co/ivYrAq5uOi
33,unicodeveloper,PDP 🌚 https://t.co/y3OnNKN21J
34,unicodeveloper,"You mistook me for Ebuka Akara, man. Can never be me. https://t.co/BVLP0vJPUq"
35,unicodeveloper,Whaaaaaaaaaaaat???????? 😳😳😳 https://t.co/QBfvZWhvMn
36,unicodeveloper,"I had an issue while coding, but forgot the command needed to resolve it. Did a quick google search and got the answer on Stackoverflow, but something was really strange! 

Guess who answered the question ???

Sanwo-Olu! 🤦🏿‍♂️😲 https://t.co/hyGGhqmdBQ"
37,unicodeveloper,Ifunanya Furniture. https://t.co/Z29MGo18ms
38,unicodeveloper,"I need this level of influence in 2019.

What he hell is three dots that has over 120k likes? 

- Apocalypse?
- A new company?
- Sign language for a new tech. invention?

Elon, stop keeping us in the dark!!! 🙄 https://t.co/hKsl1gg4NH"
39,unicodeveloper,"Don’t dull on this opportunity, folks! https://t.co/7VQUXNXpvg"
40,unicodeveloper,"Why are you folks just scamming people?  Why is travel so hard in this region? 

How many times will we get this yellow card? What’s going on exactly?

E-Yellow card? https://t.co/o8Dja4k67I"
41,unicodeveloper,Boss!!! It was really great meeting you today 🙌🙌🙌🙌🙌😅😅😅😅 https://t.co/6zIpjXNnrn
42,unicodeveloper,I really like the family dinner scene in #LionHeart 😍😍😍
43,unicodeveloper,"If a child tries to tie a wrapper before maturity, when the wind comes it will blow him away along with the wrapper. #LionHeart"
44,unicodeveloper,God never gives you a burden he hasn’t equipped you to carry #LionHeart 🔥
45,unicodeveloper,"“Nne, you look so tensed” 💀💀 #LionHeart"
46,unicodeveloper,#LionHeart is a typical representation of companies having morning devotions every day. 😅
47,unicodeveloper,Enjoying #LionHeart on Netflix at the moment. I love what I see! 😍
48,unicodeveloper,Happy birthday Max!!! https://t.co/ctHWgAgJqU
49,unicodeveloper,Is there any thing this man doesn’t do? https://t.co/n8icxDPH3X
50,unicodeveloper,"You deserve this and so much more, Sarah!!! 🙌🙌🙌🙌 https://t.co/4CXPgo7bwQ"
51,unicodeveloper,Lmaoo....wa je baba nla iya. O ma da bi o fi Aloe vera mu garri! https://t.co/DonhwG5S9b
52,unicodeveloper,“Mistakes I’ve made as a junior developer — and how you can avoid them.” by Jack Finlay https://t.co/NrER9EIe8r
53,unicodeveloper,You guys find new levels of madness on this app everyday 😂😂😂😂😂 https://t.co/9i8CTGgRnz
54,unicodeveloper,Learn Factory @LearnFactoryNG https://t.co/evbHfRgApz
55,unicodeveloper,Lmaoooooooo https://t.co/5cPrvEwNOD
56,unicodeveloper,"No time to waste. It has begun! 🔥🚀

Apply for #ALCwithforloop today!!! https://t.co/MrBlPFCUno"
57,unicodeveloper,"Inverters and Solar panels all the way. 

I’ve had 24 hrs uninterrupted power supply for about 2 years now. 🤷🏾‍♂️ https://t.co/Y1rzVkeLwW"
58,unicodeveloper,Any plans to have any of the remote teams working from African regions yet? There are fantastic folks here that would be great for your team. 😊 https://t.co/pNsU4hRntY
59,unicodeveloper,"Man. Anything, any amount it takes to get that data. It’s just unfortunate that it’s really expensive in Nigeria.

I don’t know of any shortcuts. 🤷🏾‍♂️ https://t.co/c43Ih6WGh2"
60,unicodeveloper,😏 https://t.co/8nlVag8DKG
61,unicodeveloper,"Apparently, lots of folks got really emotional over my 2018 in review article. 😭 

I’m sorry for any mixed feelings I might have caused. Thank you all for the overwhelming love and your labor shall never be in vain! 💕💗 🙏

2019 will be super lit. Let’s make impact!!! 😅🔥🚀"
62,unicodeveloper,I just published 2018: State of the forloopAfrica Report https://t.co/FvS4cSUjmX
63,unicodeveloper,I finally spilled the tea here. 😊https://t.co/68wh8IFK4J https://t.co/ojfFpDvOHD
64,unicodeveloper,I just published 2018 In Review: Shattering Expectations https://t.co/D4EPNIFVjz
